key,module,page,component,slot,text,notes,status
settings.labs.sessions.label,ui,SettingsPage,LabsSection,sessions_label,"会话效率分析",,active
settings.labs.sessions.hint,ui,SettingsPage,LabsSection,sessions_hint,"仅使用本地元数据，分析 Claude 与 Codex 的编辑覆盖、一次完成率和单次编辑成本。",,active
settings.labs.sessions.aria,ui,SettingsPage,LabsSection,sessions_aria,"切换会话效率分析",,active
settings.section.labs,ui,SettingsPage,LabsSection,sec_labs,"实验功能",,active
qpd.card.title,ui,DashboardView,QualityPerDollarCard,title,"研发性价比与交付成本",,active
qpd.card.badge,ui,DashboardView,QualityPerDollarCard,badge,"测试版",,active
qpd.card.subtitle,ui,DashboardView,QualityPerDollarCard,subtitle,"基于已合并 PR 与 AI 归因提交的历史，估算不同模型的平均交付成本。",,active
qpd.card.updating,ui,DashboardView,QualityPerDollarCard,updating,"更新中…",,active
qpd.card.best_value,ui,DashboardView,QualityPerDollarCard,best_value,"最省钱",,active
qpd.card.col_model,ui,DashboardView,QualityPerDollarCard,col_model,"模型",,active
qpd.card.col_cost,ui,DashboardView,QualityPerDollarCard,col_cost,"花费",,active
qpd.card.col_accepted,ui,DashboardView,QualityPerDollarCard,col_accepted,"已合 PR",,active
qpd.card.col_rate,ui,DashboardView,QualityPerDollarCard,col_rate,"采纳率",,active
qpd.card.col_qpd,ui,DashboardView,QualityPerDollarCard,col_qpd,"单PR成本",,active
qpd.card.qpd_tooltip,ui,DashboardView,QualityPerDollarCard,qpd_tooltip,"平均每合并一个 PR 消耗的 Token 资金 (总花费 ÷ 已合并数)",,active
qpd.card.totals,ui,DashboardView,QualityPerDollarCard,totals,"已合并 {{accepted}}/{{outcomes}} 个 PR · 总花费 {{cost}}",,active
qpd.card.et,ui,DashboardView,QualityPerDollarCard,et,"有效 Token: {{tokens}} (采纳率 {{rate}})",,active
qpd.card.et_tooltip,ui,DashboardView,QualityPerDollarCard,et_tooltip,"有效 Token (Effective Tokens) —— 最终成功采纳并合并的代码所消耗的 Token 占总消耗的比例",,active
qpd.card.sparse_notice,ui,DashboardView,QualityPerDollarCard,sparse_notice,"提示：数据量较少，建议筛选更窄的时间区间以获得精准分析。",,active
settings.appearance.theme.label,ui,SettingsPage,SettingsPage,theme_label,"主题",,active
settings.appearance.theme.hint,ui,SettingsPage,SettingsPage,theme_hint,"选择 Token Tracker 在仪表盘中的显示方式。",,active
settings.appearance.theme.light,ui,SettingsPage,SettingsPage,theme_light,"浅色",,active
settings.appearance.theme.dark,ui,SettingsPage,SettingsPage,theme_dark,"深色",,active
settings.appearance.theme.system,ui,SettingsPage,SettingsPage,theme_system,"系统",,active
settings.appearance.currency.label,ui,SettingsPage,SettingsPage,currency_label,"货币",,active
settings.appearance.currency.hint,ui,SettingsPage,SettingsPage,currency_hint,"选择用量成本的显示币种。",,active
settings.appearance.token_format.label,ui,SettingsPage,SettingsPage,token_format_label,"Token 数字显示",,active
settings.appearance.token_format.hint,ui,SettingsPage,SettingsPage,token_format_hint,"全局使用 K/M/B 或完整数字；紧凑模式下悬停可查看精确数值。",,active
settings.appearance.token_format.compact,ui,SettingsPage,SettingsPage,token_format_compact,"紧凑",,active
settings.appearance.token_format.full,ui,SettingsPage,SettingsPage,token_format_full,"完整",,active
settings.appearance.currency.opt.usd,ui,SettingsPage,SettingsPage,currency_opt_usd,"美元 ($)",,active
settings.appearance.currency.opt.eur,ui,SettingsPage,SettingsPage,currency_opt_eur,"欧元 (€)",,active
settings.appearance.currency.opt.gbp,ui,SettingsPage,SettingsPage,currency_opt_gbp,"英镑 (£)",,active
settings.appearance.currency.opt.cny,ui,SettingsPage,SettingsPage,currency_opt_cny,"人民币 (¥)",,active
settings.appearance.currency.opt.jpy,ui,SettingsPage,SettingsPage,currency_opt_jpy,"日元 (¥)",,active
settings.appearance.currency.opt.hkd,ui,SettingsPage,SettingsPage,currency_opt_hkd,"港币 (HK$)",,active
settings.appearance.currency.rate_source.default,ui,SettingsPage,SettingsPage,rate_source_default,"内置默认汇率",,active
settings.appearance.currency.rate_source.fetched,ui,SettingsPage,SettingsPage,rate_source_fetched,"数据源：open.er-api.com",,active
settings.appearance.currency.rate_updated,ui,SettingsPage,SettingsPage,rate_updated,"更新于 {{when}}",,active
settings.appearance.currency.rate_never,ui,SettingsPage,SettingsPage,rate_never,"尚未刷新",,active
stats.period.last_7d,ui,DashboardPage,StatsPanel,period_last_7d,"7 天",,active
stats.period.last_30d,ui,DashboardPage,StatsPanel,period_last_30d,"30 天",,active
stats.period.avg,ui,DashboardPage,StatsPanel,period_avg,"平均",,active
stats.period.convs,ui,DashboardPage,StatsPanel,period_convs,"对话",,active
settings.section.menubar,ui,SettingsPage,SettingsPage,sec_menubar,"Windows 桌面 App",,active
settings.menubar.toastOnReset,ui,SettingsPage,SettingsPage,mb_reset_toast,"额度重置时显示提示",,active
settings.menubar.toastOnResetHint,ui,SettingsPage,SettingsPage,mb_reset_toast_hint,"用量额度重置时显示一条简短提示。",,active
settings.menubar.confettiOnReset,ui,SettingsPage,SettingsPage,mb_confetti,"额度重置时撒花",,active
settings.menubar.confettiOnResetHint,ui,SettingsPage,SettingsPage,mb_confetti_hint,"在接近上限后，额度重置时放一场烟花庆祝。",,active
settings.menubar.launchAtLogin,ui,SettingsPage,SettingsPage,mb_login,"登录时启动",,active
settings.menubar.launchAtLoginHint,ui,SettingsPage,SettingsPage,mb_login_hint,"登录 Windows 时自动启动 TokenTracker。",,active
settings.menubar.syncNow,ui,SettingsPage,SettingsPage,mb_sync_now,"立即同步",,active
settings.menubar.syncNowHint,ui,SettingsPage,SettingsPage,mb_sync_now_hint,"立即解析本地 AI 工具日志。",,active
settings.menubar.syncing,ui,SettingsPage,SettingsPage,mb_syncing,"正在同步...",,active
share.modal.title,share,DashboardPage,ShareModal,title,"分享你的数据",,active
share.modal.subtitle,share,DashboardPage,ShareModal,subtitle,"生成海报卡片，随处分享。",,active
share.modal.close,share,DashboardPage,ShareModal,close,"关闭",,active
share.modal.action.x,share,DashboardPage,ShareModal,action_x,"分享到 X",,active
share.modal.action.download,share,DashboardPage,ShareModal,action_download,"下载",,active
share.modal.action.copy,share,DashboardPage,ShareModal,action_copy,"复制图片",,active
share.modal.hint.x,share,DashboardPage,ShareModal,hint_x,"把图片粘贴到推文里",,active
share.modal.hint.copy,share,DashboardPage,ShareModal,hint_copy,"到剪贴板",,active
share.modal.name_label,share,DashboardPage,ShareModal,name_label,"显示名称",,active
share.modal.name_placeholder,share,DashboardPage,ShareModal,name_placeholder,"输入你的名字",,active
share.modal.footer,share,DashboardPage,ShareModal,footer,"数据始终保留在本地——图片在你的浏览器内生成，绝不上传。",,active
share.button.label,share,DashboardPage,DashboardHeader,share_button,"分享",,active
share.button.aria,share,DashboardPage,DashboardHeader,share_button_aria,"打开分享卡片",,active
share.toast.copied,share,DashboardPage,ShareModal,toast_copied,"图片已复制到剪贴板",,active
share.toast.downloaded,share,DashboardPage,ShareModal,toast_downloaded,"图片已保存",,active
share.toast.failed,share,DashboardPage,ShareModal,toast_failed,"图片生成失败",,active
share.toast.working,share,DashboardPage,ShareModal,toast_working,"生成中…",,active
share.modal.style_label,share,DashboardPage,ShareModal,style_label,"样式",,active
share.variant.neon,share,DashboardPage,ShareModal,variant_neon,"霓虹",,active
share.variant.broadsheet,share,DashboardPage,ShareModal,variant_broadsheet,"特刊",,active
share.date.month_year,share,DashboardPage,ShareCard,date_month_year,"{{year}} 年 {{month}}",,active
share.issue.all_time,share,DashboardPage,ShareCard,issue_all_time,"总计",,active
share.month_short.jan,share,DashboardPage,ShareCard,month_short,"1 月",,active
share.month_short.feb,share,DashboardPage,ShareCard,month_short,"2 月",,active
share.month_short.mar,share,DashboardPage,ShareCard,month_short,"3 月",,active
share.month_short.apr,share,DashboardPage,ShareCard,month_short,"4 月",,active
share.month_short.may,share,DashboardPage,ShareCard,month_short,"5 月",,active
share.month_short.jun,share,DashboardPage,ShareCard,month_short,"6 月",,active
share.month_short.jul,share,DashboardPage,ShareCard,month_short,"7 月",,active
share.month_short.aug,share,DashboardPage,ShareCard,month_short,"8 月",,active
share.month_short.sep,share,DashboardPage,ShareCard,month_short,"9 月",,active
share.month_short.oct,share,DashboardPage,ShareCard,month_short,"10 月",,active
share.month_short.nov,share,DashboardPage,ShareCard,month_short,"11 月",,active
share.month_short.dec,share,DashboardPage,ShareCard,month_short,"12 月",,active
share.hook.top_loyal,share,DashboardPage,ShareCard,hook_top_loyal,"{{name}} 占了 {{percent}}% 的用量。",,active
share.hook.days_record,share,DashboardPage,ShareCard,hook_days_record,"共记录 {{days}} 天。",,active
share.hook.top_led,share,DashboardPage,ShareCard,hook_top_led,"{{name}} 领跑，占比 {{percent}}%。",,active
share.hook.multi_models,share,DashboardPage,ShareCard,hook_multi_models,"{{days}} 天里用了 {{count}} 个模型。",,active
share.hook.days_with_model,share,DashboardPage,ShareCard,hook_days_with_model,"{{name}} 陪你跑了 {{days}} 天。",,active
share.hook.new_chapter,share,DashboardPage,ShareCard,hook_new_chapter,"新的记录，从这里开始。",,active
share.card.broadsheet.issue,share,DashboardPage,BroadsheetCard,issue_label,"期号",,active
share.card.broadsheet.by,share,DashboardPage,BroadsheetCard,by_label,"分享者",,active
share.card.broadsheet.tracked_since,share,DashboardPage,BroadsheetCard,tracked_since,"追踪起始",,active
share.card.broadsheet.total_tokens,share,DashboardPage,BroadsheetCard,total_tokens,"总 Token 数",,active
share.card.broadsheet.estimated_spend,share,DashboardPage,BroadsheetCard,estimated_spend,"预估花费",,active
share.card.broadsheet.billable_days,share,DashboardPage,BroadsheetCard,billable_days,"{{days}} 个活跃日",,active
share.card.broadsheet.heatmap_title,share,DashboardPage,BroadsheetCard,heatmap_title,"年度热图",,active
share.card.broadsheet.heatmap_days_on_record,share,DashboardPage,BroadsheetCard,heatmap_days,"{{active}} / {{total}} 天有记录",,active
share.card.broadsheet.roster_title,share,DashboardPage,BroadsheetCard,roster_title,"模型榜",,active
share.card.broadsheet.roster_subtitle,share,DashboardPage,BroadsheetCard,roster_subtitle,"常用模型轮换",,active
share.card.broadsheet.empty,share,DashboardPage,BroadsheetCard,empty,"这一周很安静，还没有模型数据。",,active
share.card.broadsheet.global_rank,share,DashboardPage,BroadsheetCard,global_rank,"全站排名",,active
share.card.broadsheet.active_days,share,DashboardPage,BroadsheetCard,active_days,"活跃",,active
share.card.broadsheet.days_count,share,DashboardPage,BroadsheetCard,days_count,"{{days}} 天",,active
share.card.broadsheet.track_yours,share,DashboardPage,BroadsheetCard,track_yours,"追踪你自己的",,active
share.card.annual.report_title,share,DashboardPage,AnnualReportCard,report_title,"用量报告",,active
share.card.annual.less,share,DashboardPage,AnnualReportCard,legend_less,"少",,active
share.card.annual.more,share,DashboardPage,AnnualReportCard,legend_more,"多",,active
share.card.annual.heatmap_title,share,DashboardPage,AnnualReportCard,heatmap_title,"Token 热图",,active
share.card.annual.total_tokens,share,DashboardPage,AnnualReportCard,total_tokens,"总 Token 数",,active
share.card.annual.estimated_cost,share,DashboardPage,AnnualReportCard,estimated_cost,"预估成本",,active
share.card.annual.longest_streak,share,DashboardPage,AnnualReportCard,longest_streak,"最长连击",,active
share.card.annual.days_count,share,DashboardPage,AnnualReportCard,days_count,"{{days}} 天",,active
share.card.annual.top_model,share,DashboardPage,AnnualReportCard,top_model,"热门模型",,active
usage.period.day,ui,DashboardPage,UsageOverview,period_day,"日",,active
usage.period.week,ui,DashboardPage,UsageOverview,period_week,"周",,active
usage.period.month,ui,DashboardPage,UsageOverview,period_month,"月",,active
usage.period.total,ui,DashboardPage,UsageOverview,period_total,"总计",,active
usage.period.custom,ui,DashboardPage,UsageOverview,period_custom,"自定义",,active
usage.overview.tablist_aria,ui,DashboardPage,UsageOverview,tablist_aria,"时间范围",,active
usage.overview.cost_breakdown_aria,ui,DashboardPage,UsageOverview,cost_breakdown_aria,"查看成本明细",,active
usage.overview.distribution_aria,ui,DashboardPage,UsageOverview,distribution_aria,"来源占比：{{items}}",,active
usage.overview.distribution_item,ui,DashboardPage,UsageOverview,distribution_item,"{{label}} {{percent}}%",,active
usage.overview.provider_card_aria,ui,DashboardPage,UsageOverview,provider_card_aria,"{{provider}}：{{percent}}%，{{tokens}} Token，{{cost}}。点击{{action}}详情",,active
usage.overview.percent_below_threshold,ui,DashboardPage,UsageOverview,percent_below_threshold,"<0.01",,active
usage.overview.expand,ui,DashboardPage,UsageOverview,expand,"展开",,active
usage.overview.collapse,ui,DashboardPage,UsageOverview,collapse,"收起",,active
usage.overview.model_count,ui,DashboardPage,UsageOverview,model_count,"{{count}} 个模型",,active
usage.overview.model_details_aria,ui,DashboardPage,UsageOverview,model_details_aria,"{{provider}} 模型详情",,active
usage.overview.all_tools,ui,DashboardPage,UsageOverview,all_tools,"全部",,active
usage.overview.all_models,ui,DashboardPage,UsageOverview,all_models,"全部模型",,active
usage.overview.all_models_note,ui,DashboardPage,UsageOverview,all_models_note,"同名模型会跨工具合并，并按总用量排序。",,active
usage.overview.all_tools_card_aria,ui,DashboardPage,UsageOverview,all_tools_card_aria,"全部工具：{{tokens}} Token，{{cost}}，{{count}} 个模型。显示合并后的模型排行",,active
usage.overview.cache_hit_rate_label,ui,DashboardPage,UsageOverview,cache_hit_rate_label,"缓存命中率",,active
usage.overview.cache_hit_rate_detail,ui,DashboardPage,UsageOverview,cache_hit_rate_detail,"{{reused}} 复用 / {{input}} 输入",,active
usage.overview.antigravity_notice_title,ui,DashboardPage,UsageOverview,antigravity_notice_title,"Token 为估算值",,active
usage.overview.antigravity_notice_body,ui,DashboardPage,UsageOverview,antigravity_notice_body,"Antigravity 的本地日志没有真实用量字段，这里的数字是按字符长度（约 4 字符/Token）估算出来的，也没有扣除 Gemini 的 Prompt 缓存折扣。请把它当作上限估算，不要直接对账账单。",,active
limits.panel.title,ui,LimitsPage,UsageLimitsPanel,title,"使用限制",,active
limits.panel.mode_separator,ui,LimitsPage,UsageLimitsPanel,title_separator," · ",,active
limits.label.cursor_plan,ui,LimitsPage,UsageLimitsPanel,cursor_plan,"套餐",,active
limits.label.cursor_auto,ui,LimitsPage,UsageLimitsPanel,cursor_auto,"自动",,active
limits.label.cursor_api,ui,LimitsPage,UsageLimitsPanel,cursor_api,"API",,active
limits.label.cursor_grok_bot,ui,LimitsPage,UsageLimitsPanel,cursor_grok_bot,"Grok 机器人",,active
limits.label.kiro_month,ui,LimitsPage,UsageLimitsPanel,kiro_month,"月度",,active
limits.label.kiro_bonus,ui,LimitsPage,UsageLimitsPanel,kiro_bonus,"奖励",,active
limits.label.kiro_tracked_credits,ui,LimitsPage,UsageLimitsPanel,kiro_tracked_credits,"本地用量：{{credits}} 积分 · {{count}} 个回合",,active
limits.label.kimi_weekly,ui,LimitsPage,UsageLimitsPanel,kimi_weekly,"周",,active
limits.label.kimi_5h,ui,LimitsPage,UsageLimitsPanel,kimi_5h,"5h",,active
limits.label.kimi_total,ui,LimitsPage,UsageLimitsPanel,kimi_total,"总量",,active
limits.label.kimi_parallel,ui,LimitsPage,UsageLimitsPanel,kimi_parallel,"并发：{{count}}",,active
limits.explain.used,ui,LimitsPage,UsageLimitsPanel,explain_used,"{{label}}：已用 {{used}}%",,active
limits.explain.on_track,ui,LimitsPage,UsageLimitsPanel,explain_on_track,"{{label}}：节奏正常，预计用到 {{pct}}%",,active
limits.explain.ahead_eta,ui,LimitsPage,UsageLimitsPanel,explain_ahead_eta,"{{label}}：偏快，约 {{eta}} 后用完",,active
limits.explain.ahead_pct,ui,LimitsPage,UsageLimitsPanel,explain_ahead_pct,"{{label}}：偏快，预计用到 {{pct}}%",,active
limits.explain.body,ui,LimitsPage,UsageLimitsPanel,explain_body,"竖标为匀速到现在应到的位置，填充超过即为偏快。",,active
limits.explain.remaining,ui,LimitsPage,UsageLimitsPanel,explain_remaining,"{{label}}：剩余 {{used}}%",,active
limits.explain.on_track_remaining,ui,LimitsPage,UsageLimitsPanel,explain_on_track_remaining,"{{label}}：节奏正常，预计剩余 {{pct}}%",,active
limits.explain.ahead_pct_remaining,ui,LimitsPage,UsageLimitsPanel,explain_ahead_pct_remaining,"{{label}}：偏快，预计剩余 {{pct}}%",,active
limits.explain.body_remaining,ui,LimitsPage,UsageLimitsPanel,explain_body_remaining,"竖标为匀速到现在应到的位置，填充不足即为偏快。",,active
limits.hover.resets_at,ui,LimitsPage,UsageLimitsPanel,hover_resets_at,"{{time}} 重置",,active
limits.reset_bank.hover_detail,ui,LimitsPage,UsageLimitsPanel,reset_bank_hover_detail,"{{date}} 到期 · 剩余 {{days}} 天",,active
limits.reset_bank.hover_detail_today,ui,LimitsPage,UsageLimitsPanel,reset_bank_hover_detail_today,"{{date}} 到期 · 今天",,active
limits.label.copilot_premium,ui,LimitsPage,UsageLimitsPanel,copilot_premium,"高级",,active
limits.label.copilot_chat,ui,LimitsPage,UsageLimitsPanel,copilot_chat,"对话",,active
limits.label.grok_month,ui,LimitsPage,UsageLimitsPanel,grok_month,"月度",,active
limits.label.grok_week,ui,LimitsPage,UsageLimitsPanel,grok_week,"周",,active
limits.label.grok_day,ui,LimitsPage,UsageLimitsPanel,grok_day,"日",,active
limits.label.grok_ondemand,ui,LimitsPage,UsageLimitsPanel,grok_ondemand,"按需",,active
limits.provider.claude,ui,LimitsPage,UsageLimitsPanel,provider_claude,"Claude",,active
limits.provider.codex,ui,LimitsPage,UsageLimitsPanel,provider_codex,"Codex",,active
limits.provider.cursor,ui,LimitsPage,UsageLimitsPanel,provider_cursor,"Cursor",,active
limits.provider.gemini,ui,LimitsPage,UsageLimitsPanel,provider_gemini,"Gemini",,active
limits.provider.kimi,ui,LimitsPage,UsageLimitsPanel,provider_kimi,"Kimi",,active
limits.provider.kiro,ui,LimitsPage,UsageLimitsPanel,provider_kiro,"Kiro",,active
limits.provider.grok,ui,LimitsPage,UsageLimitsPanel,provider_grok,"Grok Build",,active
limits.provider.copilot,ui,LimitsPage,UsageLimitsPanel,provider_copilot,"GitHub Copilot",,active
limits.provider.antigravity,ui,LimitsPage,UsageLimitsPanel,provider_antigravity,"Antigravity",,active
limits.provider.zcode,ui,LimitsPage,UsageLimitsPanel,provider_zcode,"ZCode",,active
provider.display.omp,ui,*,ProviderDisplay,omp,"oh-my-pi",,active
provider.display.deepseek_harness,ui,*,ProviderDisplay,deepseek_harness,"DeepSeek Harness",,active
provider.display.trae_work_cn,ui,*,ProviderDisplay,trae_work_cn,"TRAE Work 中国版",,active
limits.label.zcode_glm52,ui,LimitsPage,UsageLimitsPanel,zcode_glm52,"GLM-5.2",,active
limits.label.zcode_glm5t,ui,LimitsPage,UsageLimitsPanel,zcode_glm5t,"GLM-5-Turbo",,active
limits.label.zcode_5h,ui,LimitsPage,UsageLimitsPanel,zcode_5h,"5 小时",,active
limits.label.zcode_weekly,ui,LimitsPage,UsageLimitsPanel,zcode_weekly,"每周",,active
limits.label.zcode_tools,ui,LimitsPage,UsageLimitsPanel,zcode_tools,"工具",,active
limits.label.claude_5h,ui,LimitsPage,UsageLimitsPanel,claude_5h,"5h",,active
limits.label.claude_7d,ui,LimitsPage,UsageLimitsPanel,claude_7d,"7d",,active
limits.label.claude_opus,ui,LimitsPage,UsageLimitsPanel,claude_opus,"Opus",,active
limits.label.codex_5h,ui,LimitsPage,UsageLimitsPanel,codex_5h,"5h",,active
limits.label.codex_7d,ui,LimitsPage,UsageLimitsPanel,codex_7d,"7d",,active
limits.label.codex_credits,ui,LimitsPage,UsageLimitsPanel,codex_credits,"额度",,active
limits.label.codex_spark_5h,ui,LimitsPage,UsageLimitsPanel,codex_spark_5h,"Spark 5h",,active
limits.label.codex_spark_7d,ui,LimitsPage,UsageLimitsPanel,codex_spark_7d,"Spark 7d",,active
limits.codex_credits.detail,ui,LimitsPage,UsageLimitsPanel,codex_credits_detail,"已用 {{used}} / {{limit}} 点额度 · 剩余 {{remaining}}",,active
limits.codex_reset_bank.title,ui,LimitsPage,UsageLimitsPanel,codex_reset_bank_title,"重置",,active
limits.codex_reset_bank.row_label,ui,LimitsPage,UsageLimitsPanel,codex_reset_bank_row_label,"重置 {{index}}",,active
limits.codex_reset_bank.count_only,ui,LimitsPage,UsageLimitsPanel,codex_reset_bank_count_only,"重置额度：可用 {{count}} 次 · 到期时间不可用",,active
limits.label.gemini_pro,ui,LimitsPage,UsageLimitsPanel,gemini_pro,"Pro",,active
limits.label.gemini_flash,ui,LimitsPage,UsageLimitsPanel,gemini_flash,"Flash",,active
limits.label.gemini_lite,ui,LimitsPage,UsageLimitsPanel,gemini_lite,"Lite",,active
limits.label.antigravity_claude_weekly,ui,LimitsPage,UsageLimitsPanel,antigravity_claude_weekly,"Cl 7d",,active
limits.label.antigravity_claude_5h,ui,LimitsPage,UsageLimitsPanel,antigravity_claude_5h,"Cl 5h",,active
limits.label.antigravity_gemini_weekly,ui,LimitsPage,UsageLimitsPanel,antigravity_gemini_weekly,"Gm 7d",,active
limits.label.antigravity_gemini_5h,ui,LimitsPage,UsageLimitsPanel,antigravity_gemini_5h,"Gm 5h",,active
limits.label.antigravity_live,ui,LimitsPage,UsageLimitsPanel,antigravity_live,"实时",,active
limits.label.antigravity_cached,ui,LimitsPage,UsageLimitsPanel,antigravity_cached,"缓存",,active
limits.tooltip.antigravity_live,ui,LimitsPage,UsageLimitsPanel,antigravity_live_tooltip,"实时额度，直接获取自本地运行的 Antigravity 进程。",,active
limits.tooltip.antigravity_cached,ui,LimitsPage,UsageLimitsPanel,antigravity_cached_tooltip,"缓存的额度。启动 Antigravity IDE/CLI 以刷新。",,active
limits.bar.sub_one_percent,ui,LimitsPage,UsageLimitsPanel,bar_sub_one_percent,"<1",,active
limits.status.not_connected,ui,LimitsPage,UsageLimitsPanel,status_not_connected,"未连接",,active
limits.status.no_data,ui,LimitsPage,UsageLimitsPanel,status_no_data,"未返回实时限额数据",,active
limits.status.all_hidden,ui,LimitsPage,UsageLimitsPanel,status_all_hidden,"所有限额提供商都已隐藏。请打开显示设置重新显示。",,active
shared.time.now,shared,*,Shared,time_now,"刚刚",,active
shared.time.m_ago,shared,*,Shared,time_m_ago,"{{n}}分钟前",,active
shared.time.h_ago,shared,*,Shared,time_h_ago,"{{n}}小时前",,active
shared.time.d_ago,shared,*,Shared,time_d_ago,"{{n}}天前",,active
nav.ip_check,shared,*,Sidebar,nav_ip_check,"Claude IP 检查",,active
nav.sessions,shared,*,Sidebar,nav_sessions,"会话",,active
hint.dismiss,ui,shared,DismissibleHint,hint_dismiss,"关闭提示",,active
hint.dismissible_aria,ui,shared,DismissibleHint,hint_dismissible_aria,"可关闭的提示",,active
shared.action.undo,shared,*,Shared,action_undo,"撤销",,active
shared.action.dismiss,shared,*,Shared,action_dismiss,"关闭",,active
shared.action.cancel,shared,*,Shared,action_cancel,"取消",,active
shared.action.close,shared,*,Shared,action_close,"关闭",,active
shared.action.save,shared,*,Shared,action_save,"保存",,active
shared.action.apply,shared,*,Shared,action_apply,"应用",,active
dashboard.context_breakdown.heading,dashboard,DashboardPage,UsageOverview,heading,"上下文细分",,active
dashboard.context_breakdown.heading_claude,dashboard,DashboardPage,UsageOverview,heading_claude,"Claude 上下文细分",,active
dashboard.context_breakdown.heading_codex,dashboard,DashboardPage,UsageOverview,heading_codex,"Codex 上下文细分",,active
dashboard.context_breakdown.heading_grok,dashboard,DashboardPage,UsageOverview,heading_grok,"Grok 上下文细分",,active
dashboard.context_breakdown.empty,dashboard,DashboardPage,ContextBreakdownPanel,empty,"所选时间段内没有 Claude Code 活动。",,active
dashboard.context_breakdown.empty_codex,dashboard,DashboardPage,ContextBreakdownPanel,empty_codex,"所选时间段内没有 Codex 活动。",,active
dashboard.context_breakdown.error,dashboard,DashboardPage,ContextBreakdownPanel,error,"无法读取此视图所需的 Claude Code 日志。",,active
dashboard.context_breakdown.error_codex,dashboard,DashboardPage,ContextBreakdownPanel,error_codex,"无法读取此视图所需的 Codex 日志。",,active
dashboard.context_breakdown.bar_aria,dashboard,DashboardPage,ContextBreakdownPanel,bar_aria,"Token 分布：{{summary}}",,active
dashboard.context_breakdown.system_prefix_tooltip,dashboard,DashboardPage,ContextBreakdownPanel,tooltip,"系统 Prompt、工具结构、Skills、规则和 MCP 描述会作为同一个前缀缓存，无法从日志中分别拆分。",,active
dashboard.context_breakdown.footnote,dashboard,DashboardPage,ContextBreakdownPanel,footnote,"近似统计：缓存读取会随对话轮次累积，因此对话历史会逐渐占据主要部分。只有 Claude Code 日志能提供此视图所需的逐消息明细。",,active
dashboard.context_breakdown.footnote_codex,dashboard,DashboardPage,ContextBreakdownPanel,footnote_codex,"Codex 在此使用互不重叠的 Token 分类。工具和命令执行下钻数据，是对同一批对话轮次进行的独立启发式归因。",,active
dashboard.context_breakdown.empty_grok,dashboard,DashboardPage,ContextBreakdownPanel,empty_grok,"所选时间段内没有 Grok Build 活动。",,active
dashboard.context_breakdown.error_grok,dashboard,DashboardPage,ContextBreakdownPanel,error_grok,"无法读取此视图所需的 Grok Build 日志。",,active
dashboard.context_breakdown.footnote_grok,dashboard,DashboardPage,ContextBreakdownPanel,footnote_grok,"Grok 在此使用互不重叠的 Token 分类。工具和命令执行下钻数据，是对同一批对话轮次进行的独立启发式归因，以 turn_completed.usage 为权威总量。",,active
dashboard.context_breakdown.category.system_prompt,dashboard,DashboardPage,ContextBreakdownPanel,cat,"系统 Prompt",,active
dashboard.context_breakdown.category.messages,dashboard,DashboardPage,ContextBreakdownPanel,cat,"消息",,active
dashboard.context_breakdown.category.tool_calls,dashboard,DashboardPage,ContextBreakdownPanel,cat,"工具调用",,active
dashboard.context_breakdown.category.mcp_servers,dashboard,DashboardPage,ContextBreakdownPanel,cat,"MCP 服务器",,active
dashboard.context_breakdown.category.custom_agents,dashboard,DashboardPage,ContextBreakdownPanel,cat,"自定义 Agent",,active
dashboard.context_breakdown.category.reasoning,dashboard,DashboardPage,ContextBreakdownPanel,cat,"推理",,active
dashboard.context_breakdown.category.skills,dashboard,DashboardPage,ContextBreakdownPanel,cat,"Skills",,active
dashboard.context_breakdown.loading_aria,dashboard,DashboardPage,ContextBreakdownPanel,loading_aria,"正在加载上下文细分",,active
dashboard.context_breakdown.loading_hint,dashboard,DashboardPage,ContextBreakdownPanel,loading_hint,"正在扫描会话日志…",,active
dashboard.context_breakdown.tool_details.total_column,dashboard,DashboardPage,ContextBreakdownPanel,tool_details_total_column,"总计",,active
dashboard.context_breakdown.tool_details.unavailable_codex,dashboard,DashboardPage,ContextBreakdownPanel,tool_details_unavailable_codex,"此时间段没有工具级 Codex 明细，仅显示队列总量。",,active
dashboard.context_breakdown.message_details.title,dashboard,DashboardPage,ContextBreakdownPanel,message_details_title,"消息明细",,active
dashboard.context_breakdown.message_details.note,dashboard,DashboardPage,ContextBreakdownPanel,message_details_note,"仅提供汇总数据——不会存储消息文本。",,active
dashboard.context_breakdown.message_details.category_column,dashboard,DashboardPage,ContextBreakdownPanel,message_details_category_column,"类别",,active
dashboard.context_breakdown.message_details.user_input,dashboard,DashboardPage,ContextBreakdownPanel,message_details_user_input,"用户输入",,active
dashboard.context_breakdown.message_details.conversation_history,dashboard,DashboardPage,ContextBreakdownPanel,message_details_conversation_history,"对话历史",,active
dashboard.context_breakdown.message_details.assistant_response,dashboard,DashboardPage,ContextBreakdownPanel,message_details_assistant_response,"助手回复",,active
dashboard.context_breakdown.exec_details.title,dashboard,DashboardPage,ContextBreakdownPanel,exec_details_title,"命令执行明细",,active
dashboard.context_breakdown.exec_details.kind_column,dashboard,DashboardPage,ContextBreakdownPanel,exec_details_kind_column,"类型",,active
dashboard.context_breakdown.exec_details.calls_column,dashboard,DashboardPage,ContextBreakdownPanel,exec_details_calls_column,"调用",,active
